participant_id,cue,response,response_type,semantic_category,affective_valence
P1,Sanskar,Pray,syntagmatic,functional,positive
P1,Chashma,Kaanch,paradigmatic,perceptual,neutral
P1,Cloud,Cotton,paradigmatic,perceptual,neutral
P1,Time,Kata,encyclopedic,cultural,neutral
P1,Glasses,Cup,encyclopedic,functional,neutral
P1,Blessing,Head,syntagmatic,functional,positive
P1,Namak,Halal,encyclopedic,cultural,positive
P1,Mohalla,Chaotic,syntagmatic,perceptual,negative
P1,Shyness,Red,syntagmatic,perceptual,neutral
P1,Aashirwad,Aata,encyclopedic,cultural,positive
P1,Opportunity,Mauka,paradigmatic,taxonomic,positive
P1,Salt,Beach,encyclopedic,perceptual,neutral
P1,Baadal,Baarish,syntagmatic,perceptual,neutral
P1,Values,Money,syntagmatic,functional,neutral
P1,Sharam,Disrespect,paradigmatic,emotional,negative
P1,Neighbourhood,Colony,paradigmatic,taxonomic,neutral
P1,Kutta,Billi,paradigmatic,taxonomic,neutral
P1,Mauka,Chauka,encyclopedic,cultural,positive
P1,Dog,Cat,paradigmatic,taxonomic,neutral
P1,Samay,Raina,encyclopedic,cultural,neutral
P2,Blessing,Wish,paradigmatic,emotional,positive
P2,Sanskar,Values,paradigmatic,taxonomic,positive
P2,Aashirwad,Aashram,encyclopedic,cultural,positive
P2,Samay,Raina,encyclopedic,cultural,neutral
P2,Mauka,Chance,paradigmatic,taxonomic,positive
P2,Opportunity,Hope,syntagmatic,emotional,positive
P2,Sharam,Badtameez,syntagmatic,emotional,negative
P2,Dog,Cute,syntagmatic,perceptual,positive
P2,Kutta,Bad,syntagmatic,emotional,negative
P2,Namak,Haram,encyclopedic,cultural,negative
P2,Chashma,Specs,paradigmatic,taxonomic,neutral
P2,Time,Less,syntagmatic,perceptual,negative
P2,Shyness,Feeling,paradigmatic,emotional,neutral
P2,Neighbourhood,House,syntagmatic,functional,neutral
P2,Mohalla,Road,syntagmatic,functional,neutral
P2,Values,Kind,syntagmatic,emotional,positive
P2,Cloud,Rain,syntagmatic,perceptual,neutral
P2,Salt,Taste,syntagmatic,functional,neutral
P2,Baadal,Rain,syntagmatic,perceptual,neutral
P2,Glasses,Sun,syntagmatic,functional,neutral
P3,Cloud,Rain,syntagmatic,perceptual,neutral
P3,Mauka,Chance,paradigmatic,taxonomic,positive
P3,Sharam,Agrim,encyclopedic,cultural,neutral
P3,Kutta,Patti,encyclopedic,cultural,neutral
P3,Salt,Chini,paradigmatic,taxonomic,neutral
P3,Time,Ghadi,syntagmatic,functional,neutral
P3,Sanskar,Parents,syntagmatic,cultural,positive
P3,Glasses,Lenskart,encyclopedic,cultural,neutral
P3,Mohalla,Town,paradigmatic,taxonomic,neutral
P3,Shyness,Emotion,paradigmatic,emotional,neutral
P3,Blessing,God,syntagmatic,cultural,positive
P3,Neighbourhood,Home,syntagmatic,functional,positive
P3,Namak,Chini,paradigmatic,taxonomic,neutral
P3,Dog,Cat,paradigmatic,taxonomic,neutral
P3,Aashirwad,Parents,syntagmatic,cultural,positive
P3,Baadal,Baarish,syntagmatic,perceptual,neutral
P3,Values,Home,syntagmatic,functional,positive
P3,Chashma,Agrim,encyclopedic,cultural,neutral
P3,Opportunity,Job,syntagmatic,functional,positive
P3,Samay,Time,paradigmatic,taxonomic,neutral
P4,Mohalla,Gali,paradigmatic,taxonomic,neutral
P4,Opportunity,Knocks,syntagmatic,functional,positive
P4,Aashirwad,Elders,syntagmatic,cultural,positive
P4,Cloud,Rain,syntagmatic,perceptual,neutral
P4,Values,Good,syntagmatic,emotional,positive
P4,Mauka,Pakistan,encyclopedic,cultural,neutral
P4,Dog,Cat,paradigmatic,taxonomic,neutral
P4,Namak,Mirch,syntagmatic,functional,neutral
P4,Shyness,Bold,paradigmatic,emotional,neutral
P4,Sanskar,Parampara,syntagmatic,cultural,positive
P4,Glasses,Agrim,encyclopedic,cultural,neutral
P4,Samay,Raina,encyclopedic,cultural,neutral
P4,Neighbourhood,Spiderman,encyclopedic,cultural,neutral
P4,Salt,Phil,encyclopedic,cultural,neutral
P4,Chashma,Kala,syntagmatic,perceptual,neutral
P4,Time,Watch,syntagmatic,functional,neutral
P4,Baadal,Baarish,syntagmatic,perceptual,neutral
P4,Sharam,Laja,paradigmatic,emotional,negative
P4,Kutta,Billi,paradigmatic,taxonomic,neutral
P4,Blessing,Elders,syntagmatic,cultural,positive
P5,Chashma,Frame,syntagmatic,functional,neutral
P5,Dog,Cat,paradigmatic,taxonomic,neutral
P5,Values,Education,syntagmatic,functional,positive
P5,Time,Clock,syntagmatic,functional,neutral
P5,Sanskar,Indian,syntagmatic,cultural,neutral
P5,Baadal,Clouds,paradigmatic,taxonomic,neutral
P5,Cloud,Rain,syntagmatic,perceptual,neutral
P5,Opportunity,Seek,syntagmatic,functional,positive
P5,Sharam,Sanskar,encyclopedic,cultural,neutral
P5,Shyness,Timid,paradigmatic,emotional,neutral
P5,Samay,Watch,syntagmatic,functional,neutral
P5,Mohalla,Neighbourhood,paradigmatic,taxonomic,neutral
P5,Aashirwad,Elders,syntagmatic,cultural,positive
P5,Salt,Pepper,syntagmatic,functional,neutral
P5,Blessing,Aashirwaad,paradigmatic,taxonomic,positive
P5,Namak,Food,syntagmatic,functional,neutral
P5,Glasses,Specs,paradigmatic,taxonomic,neutral
P5,Neighbourhood,Mohalla,paradigmatic,taxonomic,neutral
P5,Mauka,Opportunity,paradigmatic,taxonomic,positive
P5,Kutta,Dog,paradigmatic,taxonomic,neutral
P6,Samay,Watch,syntagmatic,functional,neutral
P6,Blessing,Religion,syntagmatic,cultural,positive
P6,Chashma,Glasses,paradigmatic,taxonomic,neutral
P6,Shyness,Emotion,paradigmatic,emotional,neutral
P6,Sanskar,Sanskari,paradigmatic,cultural,positive
P6,Namak,Tata,encyclopedic,cultural,neutral
P6,Dog,Cat,paradigmatic,taxonomic,neutral
P6,Sharam,Shame,paradigmatic,emotional,negative
P6,Neighbourhood,Street,syntagmatic,functional,neutral
P6,Mauka,Opportunity,paradigmatic,taxonomic,positive
P6,Kutta,Dog,paradigmatic,taxonomic,neutral
P6,Time,Clock,syntagmatic,functional,neutral
P6,Salt,Pepper,syntagmatic,functional,neutral
P6,Values,Education,syntagmatic,functional,positive
P6,Glasses,Specs,paradigmatic,taxonomic,neutral
P6,Mohalla,Ghar,syntagmatic,functional,neutral
P6,Baadal,Clouds,paradigmatic,taxonomic,neutral
P6,Opportunity,Mauka,paradigmatic,taxonomic,positive
P6,Cloud,Nine,encyclopedic,cultural,positive
P6,Aashirwad,Blessings,paradigmatic,taxonomic,positive
P7,Blessing,Aashirwaad,paradigmatic,taxonomic,positive
P7,Cloud,Rain,syntagmatic,perceptual,neutral
P7,Time,Hourglass,syntagmatic,functional,neutral
P7,Glasses,Lens,paradigmatic,taxonomic,neutral
P7,Mauka,Drink,encyclopedic,cultural,neutral
P7,Neighbourhood,Police,encyclopedic,cultural,neutral
P7,Salt,Dandi,encyclopedic,cultural,neutral
P7,Kutta,Billi,paradigmatic,taxonomic,neutral
P7,Samay,Time,paradigmatic,taxonomic,neutral
P7,Shyness,Jhijak,paradigmatic,emotional,neutral
P7,Dog,Fighting,syntagmatic,functional,negative
P7,Chashma,Gandhi,encyclopedic,cultural,neutral
P7,Mohalla,Halla,encyclopedic,cultural,neutral
P7,Opportunity,Chance,paradigmatic,taxonomic,positive
P7,Values,Skill,syntagmatic,functional,positive
P7,Namak,Namkeen,paradigmatic,taxonomic,neutral
P7,Aashirwad,Aata,encyclopedic,cultural,positive
P7,Sharam,Jhijak,paradigmatic,emotional,neutral
P7,Sanskar,Sushil,syntagmatic,emotional,positive
P7,Baadal,Chawn,syntagmatic,perceptual,neutral
P8,Kutta,Cat,paradigmatic,taxonomic,neutral
P8,Baadal,Aasman,syntagmatic,perceptual,neutral
P8,Blessing,God,syntagmatic,cultural,positive
P8,Mohalla,Ghar,syntagmatic,functional,neutral
P8,Time,Late,syntagmatic,perceptual,negative
P8,Aashirwad,Elders,syntagmatic,cultural,positive
P8,Chashma,Eyes,syntagmatic,functional,neutral
P8,Sanskar,Important,syntagmatic,emotional,positive
P8,Values,Human,syntagmatic,functional,positive
P8,Shyness,Sad,syntagmatic,emotional,negative
P8,Dog,Cat,paradigmatic,taxonomic,neutral
P8,Sharam,Innocent,paradigmatic,emotional,positive
P8,Samay,Time,paradigmatic,taxonomic,neutral
P8,Opportunity,Future,syntagmatic,functional,positive
P8,Mauka,Opportunity,paradigmatic,taxonomic,positive
P8,Namak,Swaad,syntagmatic,functional,positive
P8,Cloud,Water,syntagmatic,perceptual,neutral
P8,Glasses,Paani,encyclopedic,functional,neutral
